Date,Company,Channel,Lang,Title,URL
2026-05-29,Ashok Leyland Ltd,ET NOW Swadesh,Hindi,"Ashok Leyland के Q4 के नतीजों में आये मुनाफा, मार्जिन और EBITDA पर MD &CEO Shenu Agarwal की चर्चा |",https://www.youtube.com/watch?v=0XWjMecBOE0
2026-05-29,INOX India Ltd,ET NOW Swadesh,Hindi,"Inox India के Q4 Results, आय, मुनाफा, EBITDA और मार्जिन पर CEO Deepak Acharya का Outlook | ETNS",https://www.youtube.com/watch?v=-43ZugSmKxo
2026-05-29,Ashok Leyland Ltd,CNBC Awaaz,Hindi,Ashok Leyland Q4 Results: Revenue Up 19% & Profit Up 13%|Outlook Explained by MD & CEO Shenu Agarwal,https://www.youtube.com/watch?v=RyPHlEu3oj0
2026-05-29,Ashok Leyland Ltd,Zee Business,Hindi,Ashok Leyland CEO LIVE: What Will Drive Growth in FY27? | Ashok Leyland MD & CEO Shares Fut Outlook,https://www.youtube.com/watch?v=Cr660ti08GQ
2026-05-29,Shriram Properties Ltd,CNBC Awaaz,Hindi,Shriram Properties के नतीजों और ग्रोथ स्ट्रैटेजी को लेकर ED & CEO Gopalakrishnan J से खास बातचीत,https://www.youtube.com/watch?v=Bo4mADwEjXQ
2026-05-29,TCI Express Ltd,ET NOW,English,TCI Express Q4 Earnings Update: MD Chander Agarwal Outlines Big FY27 Growth Targets | Business News,https://www.youtube.com/watch?v=0nufux81m1Y
2026-05-28,Senco Gold Ltd,Zee Business,Hindi,Senco Gold MD Explains Impact of Gold Duty Hike on Business,https://www.youtube.com/watch?v=5MSGxEkyXA0
2026-05-27,Black Box Ltd,ET NOW Swadesh,Hindi,"Q4 में Black Box का दमदार प्रदर्शन, CEO Sanjiv Verma से खास बातचीत | Stock Market",https://www.youtube.com/watch?v=Zk6VSCtI6iw
2026-05-27,Shringar House of Mangalsutra Ltd,ET NOW Swadesh,Hindi,"Shringar House of Mangalsutra के Q4 Results, आय और मुनाफा पर CEO Chetan Thadeshwar का Outlook",https://www.youtube.com/watch?v=Mo_kHTlEuLg
2026-05-27,Oil India Ltd,ET NOW,English,Oil India’s Big Rajasthan Discovery! CMD Reveals Production Potential | Deepwater Exploration,https://www.youtube.com/watch?v=DlQowPCxVyY
2026-05-26,Infosys Ltd,NDTV Profit,English,"Global Chip Shortage Could Make Smartphones More Expensive, Warns Ex-Infosys CFO",https://www.youtube.com/watch?v=zGi4axZoivs
2026-05-26,Vedanta Ltd,CNBC Awaaz,Hindi,"बिजनेस के मंच पर दिखा Vedanta Group के Chairman,अनिल अग्रवाल का संगीत प्रेम",https://www.youtube.com/watch?v=RLUxk7Yu3wU
2026-05-26,TVS Supply Chain Solutions Ltd,CNBC Awaaz,Hindi,TVS Supply Chain Solutions के नतीजों पर MD Ravi Viswanathan से हुई खास बातचीत | Know Your Company,https://www.youtube.com/watch?v=GmZjFkSZnYk
2026-05-26,Suzlon Energy Ltd,CNBC Awaaz,Hindi,"Suzlon Energy Q4 Results: Q4 में शानदार ग्रोथ, लेकिन Margin, Profit क्यों घटा? CFO Rahul Jain Speaks",https://www.youtube.com/watch?v=XtdIZK0-vSw
2026-05-25,Hindalco Industries Ltd,Zee Business,Hindi,Hindalco MD Satish Pai Reveals Growth Strategy After Q4 Results,https://www.youtube.com/watch?v=teQQqYddLl8
2026-05-25,Greenlam Industries Ltd,ET NOW,English,Greenlam Industries Jumps 10%! CFO Reveals FY27 Growth & Margin Roadmap | Business News | ET Now,https://www.youtube.com/watch?v=62-TlK7XljE
2026-05-25,Vikran Engineering Ltd,ET NOW,English,Vikran Engineering’s Massive Solar Bet! CMD Reveals ₹5700 Cr Order Book Strategy | Business News,https://www.youtube.com/watch?v=30lYE2bXyDY
2026-05-25,Hindalco Industries Ltd,CNBC Awaaz,Hindi,Hindalco Q4 Results Analysis: नतीजों और फ्यूचर प्लान पर हिंडाल्को के MD सतीश पई से खास बातचीत,https://www.youtube.com/watch?v=MrakL4fcIxk
